Speak only english,% Hispanic,% Hispanic Population Foreign Born,Hispanic Median Household Income
14.78312186,81.09027092,39.5441634,32
11.3022113,96.85333333,54.18502203,34.75
16.57773291,94.06460379,39.0019698,36.405
25.33543804,55.18488746,53.82374363,33.646
13.22426721,88.23421101,44.01085142,30.74
23.41698147,63.873025,30.8685422,38.393
6.431718062,60.14344262,31.94207836,19.018
7.746790615,99.42481512,49.17355372,20.913
17.5830708,82.44934714,34.96614242,43.014
26.51978784,77.695934,32.0060675,26.491
23.90101892,41.25780791,32.95807453,28.413
10.62189055,79.0758338,38.50141376,22.132
7.82369146,85.34098152,41.62310182,36.272
32.92054871,64.46486486,27.12351166,49.338
47.13798507,46.67406401,17.23162684,51.915
14.53496687,81.71867226,33.18691833,39.296
21.14155899,78.98243489,31.09662577,35.852
36.46523717,57.08790282,25.83934271,50.59
37.13798097,53.08462801,18.9808175,55.499
42.83018868,43.65111562,14.98141264,30.27
25.28613066,64.87427466,29.2125663,41.653
27.83453775,72.69801066,27.81810263,30.981
31.95551875,64.67349198,26.94134257,48.208
16.72354949,79.03422701,35.67837732,38.507
51.37027235,24.26594543,12.88647988,40.895
34.46576986,44.07564317,23.81690632,48.534
36.45168391,32.71915745,20.82521336,92.228
53.99316997,29.46550269,15.28167851,83.695
29.90131806,57.50167509,24.16779517,72.082
50.15197568,25.32541518,18.06407635,92.917
42.5965457,19.62639495,28.12996645,54.159
45.8093673,16.0548243,33.50883791,99.205
48.27829772,16.17638866,17.73721371,38.787
68.34872719,15.51398829,18.15894317,73.182
56.10944528,17.52823761,19.39993181,63.132
18.00310398,34.11290323,47.65957447,61.196
41.15523466,19.88393924,27.03862661,56.063
54.47803765,31.46656816,17.93848321,51.736
18.01110385,90.36370957,40.29407396,51.477
31.07277414,49.79670827,32.45623418,53.141
48.67674858,10.91875057,20.80536913,66.438
27.86563848,38.28231213,33.01494,74.357
45.48633185,46.41148325,32.92904791,80.363
35.09989971,30.91002778,37.24722766,53.7
26.15384615,48.5593031,39.7424103,68.656
